InstitutionalRole	PrimaryDomain	OrgName	OrgType	CountryName	CountryISO	WDSOrg	WDSMembership	WDSOrgLat	WDSOrgLong
Advisor/Consultant	Language data infrastructures	CLARIN ERIC	Academia/Research	Netherlands	NLD	CLARIN ERIC	Network	46.0752086	14.51441237
Advisor/Consultant	NULL	CLARIN ERIC	Academia/Research	Netherlands	NLD	CLARIN ERIC	Network	33.8994	35.487142
Advisor/Consultant	NULL	CODATA	Academia/Research	United States	USA	CODATA	Associate	53.96289805	-1.086434139
Advisor/Consultant	Training and Education	DANS	Government/Public Services	Netherlands	NLD	DANS	Regular	53.96289805	-1.086434139
Advisor/Consultant	NULL	Deutsches Klimarechenzentrum GmbH (DKRZ)	Academia/Research	Germany	DEU	DKRZ - WDC Climate	Regular	-35.2768	149.1202
Advisor/Consultant	NULL	DKRZ	IT Consultancy/Development	Germany	DEU	DKRZ - WDC Climate	Regular	-35.2768	149.1202
Advisor/Consultant	Customer Consultant A&G 	Elsevier	Large Enterprise	Netherlands	NLD	Elsevier	Associate	-35.2768	149.1202
Advisor/Consultant	Data Search	Elsevier	Academia/Research	United Kingdom	GBR	Elsevier	Associate	-19.26764016	147.0557449
Advisor/Consultant	NULL	GFZ German Research Centre for Geosciences	Academia/Research	Germany	DEU	GFZ Data Services	Candidate	41.52444362	70.67087102
Advisor/Consultant	Bioinformatics	NIH	Government/Public Services	United States	USA	ImmPort	Regular	41.52444362	70.67087102
Advisor/Consultant	Information Systems	NASA/Adnet Inc.	Government/Public Services	United States	USA	NASA ESDIS	Network	41.52444362	70.67087102
Advisor/Consultant	big data science, data management, eco-informatics	Natural Environment Research Council's Centre for Ecology & Hydrology	Academia/Research	United Kingdom	GBR	NERC	Network	41.52444362	70.67087102
Advisor/Consultant	Research infrastructure	Heredia & Viggiani Consulting	Small and Medium Enterprise	Brazil	BRA	ORCID	Partner	41.52444362	70.67087102
Advisor/Consultant	Systems Architecture - Standards-Driven	SAEON	Small and Medium Enterprise	South Africa	ZAF	SAEON	Candidate	41.52444362	70.67087102
Advisor/Consultant	NULL	SAEON	Academia/Research	South Africa	ZAF	SAEON	Candidate	41.52444362	70.67087102
Advisor/Consultant	NULL	Swedish National Data Service	Government/Public Services	Sweden	SWE	SND	Regular	41.52444362	70.67087102
Advisor/Consultant	Research Data Publishing	Independent	Other (please specify) - obligatory	United Kingdom	GBR	Wiley	Associate	41.52444362	70.67087102
Advisor/Consultant	Earth Sciences and Communication	Independent	Other (please specify) - obligatory	United Kingdom	GBR	Wiley	Associate	41.52444362	70.67087102
Advisor/Consultant	open science in H2020	The European Academy of Bozen-Bolzano	Academia/Research	Italy	ITA			41.52444362	70.67087102
Advisor/Consultant	Metrics/Analytics	Pharmica	IT Consultancy/Development	United States	USA			41.52444362	70.67087102
Advisor/Consultant	Fisheries and Aquaculture, Statistics, Data interoperability	FAO of the UN	Other (please specify) - obligatory	Italy	ITA			41.52444362	70.67087102
Advisor/Consultant	Information Management, Open Access, Open Repositories, Open Science	FAO of the United Nations	Government/Public Services	United Kingdom	GBR			41.52444362	70.67087102
Advisor/Consultant	Data Interoperability Standards	Data Interoperability Standards Consortium	Policy/Funding Agency	United States	USA			48.57964	-123.452
Advisor/Consultant	Life sciences & medical technology	T.I.B. Development	Small and Medium Enterprise	Netherlands	NLD			36.04959	103.8617
Advisor/Consultant	Geospatial information, Semantic Web, Linked Data, Open data	Academia Sinica	Academia/Research	Taiwan	TWN			52.197872	0.126568
Advisor/Consultant	x	x	Academia/Research	St Lucia	LCA			52.197872	0.126568
Advisor/Consultant	Research Administration	University of Helsinki	Academia/Research	Finland	FIN			37.8083	-122.268
Advisor/Consultant	IT	Trust-IT Services	IT Consultancy/Development	Italy	ITA			37.8083	-122.268
Advisor/Consultant	eScience and digital humanities	DeIC (Danish eInfrastructure Cooperation)	Government/Public Services	Denmark	DNK			37.8083	-122.268
Advisor/Consultant	Materials Modelling	Goldbeck Consulting Ltd	Small and Medium Enterprise	United Kingdom	GBR			37.8083	-122.268
Advisor/Consultant	Data governance	Alma Sistemi sas	Small and Medium Enterprise	Italy	ITA			37.8083	-122.268
Advisor/Consultant	Open Science, Digital Cultural Heritage, FAIR data	SURFsara /Imming Impact	Academia/Research	Netherlands	NLD			37.8083	-122.268
Advisor/Consultant	Preservation, Asset Management	AVPreserve	IT Consultancy/Development	United States	USA			37.8083	-122.268
Advisor/Consultant	Geospatial,Environment,Research	Australian National Data Services	Government/Public Services	Australia	AUS			37.8083	-122.268
Advisor/Consultant	Biodiversity Informatics	Natural History Museum Rotterdam	Academia/Research	Netherlands	NLD			37.8083	-122.268
Advisor/Consultant	Humanities IT consultancy	KNAW - Huygens ING	Academia/Research	Netherlands	NLD			37.8083	-122.268
Advisor/Consultant	 e-infrastructure	Danish e-Infrastructure Cooperation	Academia/Research	Denmark	DNK			37.8083	-122.268
